,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
1275,30946,Hooks Wiltse,1900,10466,100,57,19,1400.6660000000004,478,357,5545,0.0,1200,32,0.0,352,352,0,32.0,666,30946,wiltsho01,20.4,NYG
1276,30946,Hooks Wiltse,1910,10467,39,33,14,711.6659999999998,309,223,2868,0.0,692,22,0.0,146,146,0,8.0,299,30946,wiltsho01,7.599999999999999,NYG
1277,30947,Snake Wiltse,1900,10468,29,31,2,537.3330000000001,362,274,0,0.0,674,15,0.0,146,146,0,26.0,121,30947,wiltssn01,1.2000000000000002,PHA
1278,30958,Ernie Wingard,1920,10476,29,43,4,688.3330000000001,432,355,3115,0.0,799,32,0.0,317,317,0,13.0,101,30958,wingaer01,5.3999999999999995,SLB
1279,31010,Steve Wojciechowski,1990,10516,7,10,0,138.6667,94,87,621,554.0,165,19,264.0,57,56,1,3.0,48,31010,wojcist01,-2.597791,OAK
1280,31051,Spades Wood,1930,10542,6,9,0,122.0,79,76,562,0.0,130,6,0.0,78,78,0,1.0,56,31051,woodsp01,0.09999999999999998,PIT
1281,31052,Wilbur Wood,1960,10543,28,33,35,533.6669999999999,207,173,2202,1982.0,495,39,707.0,154,114,40,13.0,273,31052,woodwi01,3.2002617000000004,BOS
1282,31052,Wilbur Wood,1970,10544,136,123,22,2150.3333,923,792,8932,8154.0,2087,170,2996.0,570,539,31,50.0,1138,31052,woodwi01,21.548726,CHW
1283,31053,Brad Woodall,1990,10545,10,14,0,190.0,125,112,832,743.0,208,37,372.0,67,62,5,7.0,119,31053,woodabr01,0.9252417,ATL
1284,31060,Hal Woodeshick,1950,10549,8,12,0,138.0,79,62,603,519.0,141,7,198.0,64,56,8,7.0,58,31060,woodeha01,-0.8699110000000001,CLE
1285,31060,Hal Woodeshick,1960,10550,36,50,61,709.3329,321,273,3107,2684.0,675,33,908.0,325,272,53,28.0,426,31060,woodeha01,0.9606876000000002,HOU
1286,31088,Rich Wortham,1970,10569,17,16,0,263.0,150,131,1137,986.0,254,22,387.0,123,120,3,3.0,144,31088,worthri01,1.067094,CHW
